Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recov,Active_cases,Serious_critical,Total_cases_1mio,Deaths_1miopop,Total_tests,Tests_1miopop
"North America","1,500,313","3,548","90,129",142,"322,252","1,087,932","17,683",,,,
Europe,"1,650,808","22,232","153,337",597,"667,871","829,600","13,987",,,,
"South America","311,000",930,"16,472",88,"108,640","185,888","10,114",,,,
Asia,"678,456","9,723","22,307",118,"376,083","280,066","5,035",,,,
Africa,"65,636",886,"2,302",1,"23,082","40,252",224,,,,
Oceania,"8,549",10,118,,"7,661",770,19,,,,
,721,,15,,651,55,4,,,,
World,"4,215,483","37,329","284,680",946,"1,506,240","2,424,563","47,066",541,36.5,,
USA,"1,369,157","1,519","80,807 ",20,"256,345","1,032,005","16,514","4,136",244,"9,456,760","28,570"
Spain,"268,143","3,480","26,744 ",123,"177,846","63,553","1,650","5,735",572,"2,467,761","52,781"
UK,"223,060","3,877","32,065 ",210,N/A,"190,651","1,559","3,286",472,"1,921,770","28,309"
Russia,"221,344","11,656","2,009 ",94,"39,801","179,534","2,300","1,517",14,"5,636,763","38,625"
Italy,"219,070",,"30,560 ",,"105,186","83,324","1,027","3,623",505,"2,565,912","42,439"
France,"176,970",,"26,380 ",,"56,217","94,373","2,776","2,711",404,"1,384,633","21,213"
Germany,"171,999",120,"7,569 ",,"145,600","18,830","1,581","2,053",90,"2,755,770","32,891"
Brazil,"163,510",811,"11,207 ",84,"64,957","87,346","8,318",769,53,"339,552","1,597"
Turkey,"138,657",,"3,786 ",,"92,691","42,180","1,154","1,644",45,"1,370,598","16,251"
Iran,"109,286","1,683","6,685 ",45,"87,422","15,179","2,703","1,301",80,"601,324","7,159"
Canada,"68,848",,"4,870 ",,"32,096","31,882",502,"1,824",129,"1,135,984","30,099"
India,"67,724",563,"2,215 ",3,"21,155","44,354",,49,2,"1,673,688","1,213"
Peru,"67,307",,"1,889 ",,"21,349","44,069",774,"2,041",57,"504,930","15,314"
Belgium,"53,449",368,"8,707 ",51,"13,697","31,045",478,"4,612",751,"584,707","50,451"
Netherlands,"42,788",161,"5,456 ",16,N/A,"37,082",507,"2,497",318,"265,156","15,475"
"Saudi Arabia","41,014","1,966","255 ",9,"12,737","28,022",143,"1,178",7,"467,369","13,425"
Mexico,"35,022","1,562","3,465 ",112,"23,100","8,457",378,272,27,"130,956","1,016"
Pakistan,"30,941",607,"667 ",8,"8,212","22,062",111,140,3,"294,894","1,335"
Switzerland,"30,344",39,"1,834 ",1,"26,600","1,910",89,"3,506",212,"312,813","36,144"
Ecuador,"29,559",,"2,127 ",,"3,433","23,999",181,"1,675",121,"84,287","4,777"
Chile,"28,866",,"312 ",,"13,112","15,442",544,"1,510",16,"280,684","14,683"
Portugal,"27,679",98,"1,144 ",9,"2,549","23,986",112,"2,715",112,"517,660","50,767"
Sweden,"26,670",348,"3,256 ",31,"4,971","18,443",360,"2,641",322,"148,500","14,704"
Belarus,"23,906",933,"135 ",4,"6,531","17,240",92,"2,530",14,"274,060","29,003"
Singapore,"23,822",486,"20 ",,"2,721","21,081",23,"4,072",3,"175,604","30,016"
Qatar,"23,623","1,103","14 ",,"2,840","20,769",72,"8,199",5,"131,044","45,485"
Ireland,"22,996",,"1,458 ",,"17,110","4,428",72,"4,657",295,"214,761","43,493"
UAE,"18,198",,"198 ",,"4,804","13,196",1,"1,840",20,"1,200,000","121,330"
Israel,"16,492",15,"254 ",2,"11,548","4,690",73,"1,905",29,"461,704","53,342"
Poland,"16,206",210,"803 ",3,"5,816","9,587",160,428,21,"476,904","12,601"
Austria,"15,882",11,"620 ",2,"14,061","1,201",68,"1,763",69,"319,484","35,473"
Japan,"15,777",,"624 ",,"8,127","7,026",287,125,5,"214,256","1,694"
Bangladesh,"15,691","1,034","239 ",11,"2,902","12,550",1,95,1,"129,865",789
Ukraine,"15,648",416,"408 ",17,"3,288","11,952",207,358,9,"181,552","4,151"
Romania,"15,588",226,"972 ",11,"7,245","7,371",255,810,51,"262,219","13,630"
Indonesia,"14,265",233,"991 ",18,"2,881","10,393",,52,4,"161,351",590
Philippines,"11,086",292,"726 ",7,"1,999","8,361",31,101,7,"173,144","1,580"
Colombia,"11,063",,"463 ",,"2,705","7,895",130,217,9,"151,396","2,975"
"S. Korea","10,909",35,"256 ",,"9,632","1,021",55,213,5,"668,492","13,039"
Denmark,"10,513",84,"529 ",,"8,217","1,767",40,"1,815",91,"326,560","56,379"
"Dominican Republic","10,347",,"388 ",,"2,763","7,196",134,954,36,"42,615","3,928"
Serbia,"10,176",62,"218 ",3,"3,290","6,668",29,"1,165",25,"145,604","16,665"
"South Africa","10,015",,"194 ",,"4,173","5,648",77,169,3,"341,336","5,755"
Egypt,"9,400",,"525 ",,"2,075","6,800",41,92,5,"90,000",879
Kuwait,"9,286",598,"65 ",7,"2,907","6,314",131,"2,174",15,"196,397","45,988"
